Impulse,Response,Step,Value,Lower_CI,Upper_CI
goal4,goal1,4,0.00010291976449444238,5.048104370621726e-05,0.0001553584852826675
goal4,goal1,5,-1.1168173939179478e-05,-1.7828182351141314e-05,-4.508165527217643e-06
goal4,goal1,6,1.2045267083919043e-06,3.2737523751572955e-07,2.081678179268079e-06
goal4,goal1,7,-1.3068997370631097e-07,-2.491462577660554e-07,-1.2233689646566519e-08
goal4,goal1,8,1.5197246570482923e-08,-1.0671426230022928e-09,3.146163576396814e-08
goal4,goal1,9,-1.8582749833332958e-09,-4.107065106565762e-09,3.905151398991703e-10
goal4,goal1,10,2.358291314964504e-10,-7.587039926893761e-11,5.475286622618384e-10
goal7,goal1,0,0.0,0.0,0.0
goal7,goal1,1,0.009793659848972831,-0.048006878648592335,0.067594198346538
goal7,goal1,2,0.0017598348582600416,-0.007710405997527019,0.011230075714047102
goal7,goal1,3,-0.00038602940343112713,-0.0018426669031991996,0.0010706080963369452
goal7,goal1,4,7.783091073500577e-05,-0.0001391323101962171,0.0002947941316662286
goal7,goal1,5,-1.2893196697109543e-05,-4.435943571875777e-05,1.857304232453869e-05
goal7,goal1,6,2.025946207543242e-06,-2.4976071821259585e-06,6.5494995972124425e-06
goal7,goal1,7,-2.997036646799225e-07,-9.474566131301738e-07,3.480492837703287e-07
goal7,goal1,8,4.2755622048147346e-08,-4.976185600926167e-08,1.3527310010555636e-07
goal7,goal1,9,-5.9214844715086624e-09,-1.908626584122543e-08,7.243296898208105e-09
goal7,goal1,10,8.037049307503643e-10,-1.061099173022129e-09,2.6685090345228577e-09
goal8,goal1,0,0.0,0.0,0.0
goal8,goal1,1,0.03060803698297744,-0.03864408258260113,0.09986015654855601
goal8,goal1,2,-0.00769691203386599,-0.01740122681724057,0.002007402749508589
goal8,goal1,3,0.000587630757224738,-0.0007751248619292058,0.0019503863763786818
goal8,goal1,4,-6.660870434199282e-05,-0.00025766085970056545,0.00012444345101657978
goal8,goal1,5,5.483927609888998e-06,-2.030787155084487e-05,3.1275726770622865e-05
goal8,goal1,6,-4.812038280281231e-07,-3.936642910496327e-06,2.9742352544400807e-06
goal8,goal1,7,3.122892232852061e-08,-4.3002425633286893e-07,4.924821009899102e-07
goal8,goal1,8,-1.1082596379232798e-09,-6.274256033112915e-08,6.05260410552826e-08
goal8,goal1,9,-1.8117828204714112e-10,-8.414454134919487e-09,8.052097570825205e-09
goal8,goal1,10,5.571476980376503e-11,-1.0419270746821263e-09,1.1533566142896563e-09
goal10,goal1,0,0.0,0.0,0.0
goal10,goal1,1,-0.13004153939068958,-0.14867916438361872,-0.11140391439776043
goal10,goal1,2,0.012761770938545145,0.009974295756677475,0.015549246120412814
goal10,goal1,3,-0.001066613894677214,-0.0014537821852465712,-0.0006794456041078567
goal10,goal1,4,4.6429214220514305e-05,-5.506114639200474e-06,9.836454308022908e-05
goal10,goal1,5,-1.8217146730024687e-07,-6.924818384414573e-06,6.5604754498140794e-06
goal10,goal1,6,-3.109383960650254e-07,-1.1749936926139798e-06,5.531169004839291e-07
goal10,goal1,7,4.003922758343808e-08,-7.104140202194007e-08,1.5111985718881625e-07
goal10,goal1,8,-3.3237682516464532e-09,-1.7725256158374975e-08,1.1077719655082068e-08
goal10,goal1,9,1.2871634633073524e-10,-1.75485770650668e-09,2.0122903991681504e-09
goal10,goal1,10,1.492776372927201e-11,-2.3312820546211946e-10,2.6298373292066346e-10
goal13,goal1,0,0.0,0.0,0.0
goal13,goal1,1,-0.03956059496408519,-0.11180202396682136,0.03268083403865098
goal13,goal1,2,0.00691048941916479,-0.004783885806067636,0.018604864644397215
goal13,goal1,3,-0.0007220133441183151,-0.002447204159861141,0.0010031774716245108
goal13,goal1,4,0.0001001162379311062,-0.0001477625740568154,0.0003479950499190278
goal13,goal1,5,-1.2801360630278644e-05,-4.738524561843773e-05,2.1782524357880442e-05
goal13,goal1,6,1.6928284133547033e-06,-3.0869712150523912e-06,6.472628041761798e-06
goal13,goal1,7,-2.1758633898746805e-07,-8.77208270721473e-07,4.4203559274653683e-07
goal13,goal1,8,2.802136795304139e-08,-6.305955153991163e-08,1.1910228744599441e-07
