Group,Impulse,Response,Step,Value
HIC,goal4,goal3,2,0.004946960944772227
HIC,goal4,goal3,3,0.0016731004098452225
HIC,goal4,goal3,4,0.0002787829958919754
HIC,goal4,goal3,5,6.661428379617537e-05
HIC,goal4,goal3,6,1.5131548536175718e-05
HIC,goal4,goal3,7,4.243559559284947e-06
HIC,goal4,goal3,8,8.52151115866746e-07
HIC,goal4,goal3,9,2.348285693196192e-07
HIC,goal4,goal3,10,4.804215990915896e-08
HIC,goal7,goal3,0,0.0
HIC,goal7,goal3,1,0.0043086925819160425
HIC,goal7,goal3,2,0.002210411936640942
HIC,goal7,goal3,3,0.0006209236304833257
HIC,goal7,goal3,4,5.3700003398105965e-05
HIC,goal7,goal3,5,3.4518152411606783e-05
HIC,goal7,goal3,6,3.1914665808009562e-06
HIC,goal7,goal3,7,2.0720139864046708e-06
HIC,goal7,goal3,8,1.6927933988855601e-07
HIC,goal7,goal3,9,1.1454090139310385e-07
HIC,goal7,goal3,10,1.035052841574266e-08
HIC,goal8,goal3,0,0.0
HIC,goal8,goal3,1,-0.020069719304591227
HIC,goal8,goal3,2,-0.009791847339946723
HIC,goal8,goal3,3,-0.0018920469947660385
HIC,goal8,goal3,4,-0.00036549192335542447
HIC,goal8,goal3,5,-9.873560411513373e-05
HIC,goal8,goal3,6,-2.3041135684595634e-05
HIC,goal8,goal3,7,-5.672631254140803e-06
HIC,goal8,goal3,8,-1.284060555061691e-06
HIC,goal8,goal3,9,-3.1533635495143524e-07
HIC,goal8,goal3,10,-7.342130264070805e-08
HIC,goal10,goal3,0,0.0
HIC,goal10,goal3,1,-0.0022154945016807973
HIC,goal10,goal3,2,0.00457634866672773
HIC,goal10,goal3,3,-0.00047465859152920684
HIC,goal10,goal3,4,0.00022712132765998998
HIC,goal10,goal3,5,-2.0233692757709014e-05
HIC,goal10,goal3,6,1.252785421043256e-05
HIC,goal10,goal3,7,-1.015718592831051e-06
HIC,goal10,goal3,8,6.525147745374716e-07
HIC,goal10,goal3,9,-4.376472365659962e-08
HIC,goal10,goal3,10,3.374693047870911e-08
HIC,goal13,goal3,0,0.0
HIC,goal13,goal3,1,0.03443149606207449
HIC,goal13,goal3,2,0.008580337214344572
HIC,goal13,goal3,3,0.0012831612290555366
HIC,goal13,goal3,4,0.0004203427655158483
HIC,goal13,goal3,5,7.895404268177613e-05
HIC,goal13,goal3,6,2.4124216114813377e-05
HIC,goal13,goal3,7,4.578824190073803e-06
HIC,goal13,goal3,8,1.3106596610787462e-06
HIC,goal13,goal3,9,2.662311903201644e-07
HIC,goal13,goal3,10,7.288334637350437e-08
HIC,goal16,goal3,0,0.0
HIC,goal16,goal3,1,0.03692684030999449
HIC,goal16,goal3,2,0.006758415926959951
HIC,goal16,goal3,3,0.00128210948609626
HIC,goal16,goal3,4,0.00035121795443167385
HIC,goal16,goal3,5,7.366151145828439e-05
HIC,goal16,goal3,6,2.157301090357495e-05
HIC,goal16,goal3,7,4.00564843639645e-06
HIC,goal16,goal3,8,1.2061511101483164e-06
HIC,goal16,goal3,9,2.28563070933097e-07
HIC,goal16,goal3,10,6.77283842477333e-08
HIC,goal1,goal4,0,0.00935812872898668
HIC,goal1,goal4,1,0.0029001889880363005
HIC,goal1,goal4,2,-0.0030965365478838277
HIC,goal1,goal4,3,-0.00043508157745175994
HIC,goal1,goal4,4,-7.820759538405344e-05
HIC,goal1,goal4,5,-1.7441425682858972e-05
HIC,goal1,goal4,6,-5.335955214126422e-06
HIC,goal1,goal4,7,-1.188711504096045e-06
HIC,goal1,goal4,8,-2.698884627843612e-07
HIC,goal1,goal4,9,-6.798378068240125e-08
HIC,goal1,goal4,10,-1.4974990349582826e-08
HIC,goal3,goal4,0,0.07030104679417135
HIC,goal3,goal4,1,0.06673091045496356
HIC,goal3,goal4,2,0.005651563399989019
HIC,goal3,goal4,3,-0.0003758677260277518
HIC,goal3,goal4,4,0.0001816592795722393
HIC,goal3,goal4,5,4.335216518621766e-05
HIC,goal3,goal4,6,1.1664851346418261e-05
HIC,goal3,goal4,7,1.780442969721299e-06
HIC,goal3,goal4,8,5.894796649451677e-07
HIC,goal3,goal4,9,1.1718348458526919e-07
HIC,goal3,goal4,10,3.294410145490308e-08
HIC,goal4,goal4,0,0.9784429021493606
HIC,goal4,goal4,1,-0.004493778655790382
HIC,goal4,goal4,2,-0.015059057829353718
HIC,goal4,goal4,3,0.0010246239786801058
HIC,goal4,goal4,4,8.044668078079741e-05
HIC,goal4,goal4,5,4.3433963928849645e-05
HIC,goal4,goal4,6,-5.535392020600296e-06
HIC,goal4,goal4,7,1.7713172502572665e-06
HIC,goal4,goal4,8,-1.7012243302994328e-08
HIC,goal4,goal4,9,8.13031878793183e-08
HIC,goal4,goal4,10,6.812697651000535e-10
HIC,goal7,goal4,0,0.0
HIC,goal7,goal4,1,0.0013190931063798035
HIC,goal7,goal4,2,-0.006564281145307805
HIC,goal7,goal4,3,0.001525201817430962
HIC,goal7,goal4,4,-0.00018265334137856727
HIC,goal7,goal4,5,4.4342990440334846e-05
HIC,goal7,goal4,6,-8.001139055006852e-06
HIC,goal7,goal4,7,1.991156484742408e-06
HIC,goal7,goal4,8,-2.672474567958683e-07
HIC,goal7,goal4,9,7.867964893083396e-08
HIC,goal7,goal4,10,-9.846737149428748e-09
HIC,goal8,goal4,0,0.0
HIC,goal8,goal4,1,0.05337209840781482
HIC,goal8,goal4,2,0.003681254137038775
HIC,goal8,goal4,3,-0.0015696076813850079
HIC,goal8,goal4,4,-0.00010507372831754984
HIC,goal8,goal4,5,-5.198614436124542e-06
HIC,goal8,goal4,6,-3.0346633528645182e-06
HIC,goal8,goal4,7,-1.1701835258782905e-06
HIC,goal8,goal4,8,-2.5123013956431975e-07
HIC,goal8,goal4,9,-5.1447027306792974e-08
HIC,goal8,goal4,10,-1.321581404118886e-08
HIC,goal10,goal4,0,0.0
HIC,goal10,goal4,1,-0.04584184858095843
HIC,goal10,goal4,2,0.011454748433515589
HIC,goal10,goal4,3,-0.0018145935298483783
HIC,goal10,goal4,4,0.0003930405816869296
HIC,goal10,goal4,5,-8.034134739710702e-05
HIC,goal10,goal4,6,1.713569592496866e-05
HIC,goal10,goal4,7,-3.0026988889114175e-06
HIC,goal10,goal4,8,6.743180654419e-07
HIC,goal10,goal4,9,-1.2011824579566935e-07
HIC,goal10,goal4,10,2.846688697488035e-08
HIC,goal13,goal4,0,0.0
HIC,goal13,goal4,1,-0.040689478720022744
HIC,goal13,goal4,2,0.004524894319136821
HIC,goal13,goal4,3,0.0007563098423531821
HIC,goal13,goal4,4,2.3630966420342565e-05
