,goal1,goal3,goal4,goal7,goal8,goal10,goal13,goal16
goal1,0.0,0.0787980652080975,0.0633548772972353,0.6276335714933006,0.2495913720818351,0.1170302388047279,0.0445694547126244,0.2507284658264906
goal3,0.6212031798962723,0.0,0.1852367112999841,0.7693762011287424,0.1162790972203276,0.5484713721829149,0.6362997845039813,0.1945763779683118
goal4,0.5245709374117675,0.2075340991518872,0.0,0.1680861850291519,0.2225769290688998,0.1645230608346721,0.7532912480444169,0.0726254507922394
goal7,0.7926694262506369,0.6097524012946136,0.1964503356647227,0.0,0.0370641187368457,0.2281763010193329,0.0713781637836857,0.3886369313657166
goal8,0.7637442183491501,0.166178457147351,0.0367524843897864,0.5474325067797581,0.0,0.2998851398775981,0.4213198180435187,0.1369214864573107
goal10,0.2764099593992498,0.1017000310938709,0.1096079069152054,0.8946379027234536,0.8129563278671117,0.0,0.0966419098778602,0.6708196063256995
goal13,0.69211800259507,0.8589908141333217,0.1351552399620752,0.0922855814903582,0.5469975056758166,0.5010604450849202,0.0,0.3048277401547227
goal16,0.7514537713438783,0.4099288425961938,0.736080581780378,0.0872971485480647,0.0820314381237276,0.1798620581976691,0.8933445333543375,0.0
