,goal1,goal3,goal4,goal7,goal8,goal10,goal13,goal16
goal1,0.0,0.07879806520809758,0.06335487729723537,0.6276335714933006,0.24959137208183513,0.11703023880472795,0.044569454712624454,0.2507284658264906
goal3,0.6212031798962723,0.0,0.18523671129998412,0.7693762011287424,0.11627909722032767,0.5484713721829149,0.6362997845039813,0.19457637796831181
goal4,0.5245709374117675,0.20753409915188725,0.0,0.16808618502915199,0.22257692906889986,0.16452306083467216,0.7532912480444169,0.07262545079223948
goal7,0.7926694262506369,0.6097524012946136,0.19645033566472275,0.0,0.03706411873684573,0.22817630101933295,0.07137816378368571,0.38863693136571664
goal8,0.7637442183491501,0.16617845714735102,0.03675248438978648,0.5474325067797581,0.0,0.29988513987759813,0.4213198180435187,0.13692148645731073
goal10,0.2764099593992498,0.10170003109387092,0.10960790691520547,0.8946379027234536,0.8129563278671117,0.0,0.09664190987786028,0.6708196063256995
goal13,0.69211800259507,0.8589908141333217,0.13515523996207524,0.09228558149035825,0.5469975056758166,0.5010604450849202,0.0,0.3048277401547227
goal16,0.7514537713438783,0.4099288425961938,0.736080581780378,0.08729714854806472,0.08203143812372769,0.17986205819766912,0.8933445333543375,0.0
